title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Economic restructuring and income inequality in urban China,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0034-6586.2004.00130.x,Cited by 194,"https://scholar.google.com/scholar?q=related:GykZVMSuOkYJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",166,All 9 versions,"X Meng - Review of Income and Wealth, 2004 - Wiley Online Library","Economic transition from a planned to a market oriented economy is often associated with a widening of income inequality. The nature of this change, however, may differ during different stages of the economic transition. This paper investigates the increase in income  …"
"Social capital and health (plus wealth, income inequality and regional health governance)",https://www.sciencedirect.com/science/article/pii/S0277953601000491,Cited by 332,"https://scholar.google.com/scholar?q=related:VdzFAuIbu4kJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",167,All 13 versions,"G Veenstra - Social science & medicine, 2002 - Elsevier","This article describes an empirical exploration of relationships among aspects of thirty health districts in Saskatchewan, Canada. These aspects include social capital, income inequality, wealth, governance by regional health authorities and population health, the primary …"
Income inequality and class divides in parental investments,https://journals.sagepub.com/doi/abs/10.1177/0003122418772034,Cited by 66,"https://scholar.google.com/scholar?q=related:_oRi30Jnh6YJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",168,All 13 versions,"D Schneider, OP Hastings… - American Sociological …, 2018 - journals.sagepub.com",Historic increases in income inequality have coincided with widening class divides in parental investments of money and time in children. These widening class gaps are significant because parental investment is one pathway by which advantage is transmitted …
Accounting for the recent decline in global income inequality,https://www.journals.uchicago.edu/doi/abs/10.1086/421541,Cited by 237,"https://scholar.google.com/scholar?q=related:AMxWELn2hWAJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",169,All 12 versions,"G Firebaugh, B Goesling - American Journal of Sociology, 2004 - journals.uchicago.edu","Following nearly two centuries of growth, global income inequality declined in the last decades of the 20th century. To determine the causes of that historic decline, we focus on income inequality across nations and find that the major equalizing force is faster-than-world …"
Income inequality and child maltreatment in the United States,https://pediatrics.aappublications.org/content/133/3/454.short,Cited by 192,"https://scholar.google.com/scholar?q=related:Dhj4SETOvo8J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",170,All 9 versions,"J Eckenrode, EG Smith, ME McCarthy, M Dineen - Pediatrics, 2014 - Am Acad Pediatrics",OBJECTIVE: To examine the relation between county-level income inequality and rates of child maltreatment. METHODS: Data on substantiated reports of child abuse and neglect from 2005 to 2009 were obtained from the National Child Abuse and Neglect Data System …
Political rights and income inequality: A cross-national test,https://www.jstor.org/stable/2095864,Cited by 209,"https://scholar.google.com/scholar?q=related:cvE_e7EhTPgJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",171,All 4 versions,"M Simpson - American Sociological Review, 1990 - JSTOR","Among contemporary nations, the relationship between income equality and national wealth exhibits an inverted-U shape--low among the richest and poorest nations, and high for nations with intermediate wealth. To examine the reasons for this relationship, I hypothesize …"
"Poverty, income inequality, and their measures: Professor Sen's axiomatic approach reconsidered",https://www.jstor.org/stable/1910420,Cited by 321,"https://scholar.google.com/scholar?q=related:bxSNwCiVi4cJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",172,All 9 versions,"N Takayama - Econometrica: Journal of the Econometric Society, 1979 - JSTOR","This paper proposes the Gini coefficient of the censored income distribution truncated from above by the poverty line as an index of poverty. An ordinalist axiomatic approach, which was introduced by Professor Sen, is used to justify this measure. In comparison with Sen's …"
Reexamining the evidence of an ecological association between income inequality and health,https://read.dukeupress.edu/jhppl/article-abstract/26/3/487/13250,Cited by 326,"https://scholar.google.com/scholar?q=related:TV4Lv-JvltcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",173,All 11 versions,"JM Mellor, J Milyo - Journal of Health Politics, Policy and Law, 2001 - read.dukeupress.edu",Several recent studies have made the provocative claim that income inequality is an important determinant of population health. The primary evidence for this hypothesis is the repeated finding—across countries and across US states—that there is an association …
"Financial inclusion, poverty, and income inequality in developing Asia",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2558936,Cited by 222,"https://scholar.google.com/scholar?q=related:oqOcLy6fqz4J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",174,All 18 versions,"CY Park, R Mercado - Asian Development Bank Economics …, 2015 - papers.ssrn.com","Poverty and income inequality remain a stubborn challenge in Asia and the Pacific despite the region's rapid economic expansion in previous decades, which lifted millions out of poverty. Financial inclusion is often considered as a critical element that makes growth …"
Contradictory trends in global income inequality: A tale of two biases,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4991.2005.00152.x,Cited by 282,"https://scholar.google.com/scholar?q=related:3CSW7aIcNw0J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",175,All 15 versions,"S Dowrick, M Akmal - Review of Income and Wealth, 2005 - Wiley Online Library",Did global income inequality rise or fall over the last decades of the twentieth century? The answer depends on how cross‐country income comparisons are made. Exchange rate comparisons suggest that inequality rose whilst the purchasing power comparisons of the …
[C] Does educational achievement help to explain income inequality?,,Cited by 184,"https://scholar.google.com/scholar?q=related:X_KZc4p1egoJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",176,All 13 versions,"D Checchi - Inequality, growth and poverty in an era …, 2004 - Oxford University Press Oxford",
Finance and income inequality: A review and new evidence,https://www.sciencedirect.com/science/article/pii/S0176268017301490,Cited by 169,"https://scholar.google.com/scholar?q=related:cYyjkpMpcvAJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",177,All 22 versions,"J De Haan, JE Sturm - European Journal of Political Economy, 2017 - Elsevier","Using a panel fixed effects model for a sample of 121 countries covering 1975–2005, we examine how financial development, financial liberalization and banking crises are related to income inequality. In contrast with most previous work, our results suggest that all finance …"
In search of smoking guns: What makes income inequality vary over time in different countries?,https://www.jstor.org/stable/2657258,Cited by 392,"https://scholar.google.com/scholar?q=related:I2VALq-w0VYJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",178,All 10 versions,"B Gustafsson, M Johansson - American sociological review, 1999 - JSTOR",We investigate the forces affecting the distribution of income by analyzing an unbalanced panel of information for 16 industrialized countries for the years 1966 through 1994. Income inequality is measured with the Gini coefficient of equivalent disposable income; individuals …
Child wellbeing and income inequality in rich societies: ecological cross sectional study,https://www.bmj.com/content/335/7629/1080.short,Cited by 288,"https://scholar.google.com/scholar?q=related:XBF8dBrarW4J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",179,All 15 versions,"KE Pickett, RG Wilkinson - Bmj, 2007 - bmj.com","Objectives To examine associations between child wellbeing and material living standards (average income), the scale of differentiation in social status (income inequality), and social exclusion (children in relative poverty) in rich developed societies. Design Ecological, cross …"
Globalization and regional income inequality: empirical evidence from within China,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4991.2007.00217.x,Cited by 241,"https://scholar.google.com/scholar?q=related:WkCrmDEzo4MJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",180,All 6 versions,"G Wan, M Lu, Z Chen - Review of Income and Wealth, 2007 - Wiley Online Library","China's recent accession to the WTO is expected to accelerate its integration into the world economy, which aggravates concerns over the impact of globalization on the already rising inter‐region income inequality in China. This paper discusses China's globalization process …"
Does income inequality raise aggregate saving?,https://www.sciencedirect.com/science/article/pii/S0304387800000638,Cited by 152,"https://scholar.google.com/scholar?q=related:yX4utQJza0YJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",181,All 13 versions,"K Schmidt-Hebbel, L Serven - Journal of Development Economics, 2000 - Elsevier",This paper reviews analytically and empirically the links between income distribution and aggregate saving. Consumption theory brings out a number of direct channels through which income inequality can affect overall household saving—positively in most cases …
"Individual income, income inequality, health, and mortality: what are the relationships?",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1089103/,Cited by 158,"https://scholar.google.com/scholar?q=related:NK5iSCyhuIsJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",182,All 7 versions,"K Fiscella, P Franks - Health services research, 2000 - ncbi.nlm.nih.gov","OBJECTIVE: To examine the pathways between income inequality, self-rated health, and mortality in the United States. DATA SOURCE: The first National Health and Nutrition Examination Survey and Epidemiologic Follow-up Study. DESIGN: This was a longitudinal …"
Effects of non‐farm employment on rural income inequality in developing countries: an investment perspective,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1477-9552.2000.tb01228.x,Cited by 491,"https://scholar.google.com/scholar?q=related:3FjiO6_d7YYJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",183,All 8 versions,"T Reardon, JE Taylor, K Stamoulis… - Journal of …, 2000 - Wiley Online Library","This paper makes several points based on a review of household survey evidence from Africa, Asia and Latin America.(i) In contrast to conventional wisdom, the evidence is very mixed as to the effect of non‐farm employment on rural income inequality. The non‐farm …"
Economic transformation and income inequality in urban China: evidence from panel data,https://www.journals.uchicago.edu/doi/abs/10.1086/210401,Cited by 607,"https://scholar.google.com/scholar?q=related:th7gIQd6UNEJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",184,All 9 versions,"X Zhou - american Journal of Sociology, 2000 - journals.uchicago.edu","Using panel data of 4,730 urban residents drawn from 20 cities in China, this article examines changes in income determinants between the prereform and reform eras. To guide this empirical study, a conceptual model is developed that emphasizes the …"
Measurement of income inequality: Experimental test by questionnaire,https://www.sciencedirect.com/science/article/pii/004727279290003X,Cited by 267,"https://scholar.google.com/scholar?q=related:E7lOUTlvA6cJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",185,All 12 versions,"Y Amiel, FA Cowell - Journal of Public Economics, 1992 - Elsevier",We reconsider some of the basic assumptions of the literature on inequality analysis. Students' views on the meaning of inequality comparisons were elicited by means of a questionnaire involving both numerical and verbal questions. The responses suggest that …
"Income inequality, development, and dualism: Results from an unbalanced cross-national panel",https://www.jstor.org/stable/2096317,Cited by 283,"https://scholar.google.com/scholar?q=related:cBLlNnNtKe4J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",186,All 6 versions,"F Nielsen, AS Alderson - American Sociological Review, 1995 - JSTOR",We investigate the relationship between income inequality and economic development using an unbalanced cross-national data set that allows observations on inequality and development for several years for the same country. The 88 countries in this data set …
Income inequality during China's economic transition,https://www.researchgate.net/profile/John_Giles5/publication/24136062_Income_Inequality_During_China's_Economic_Transition/links/0912f5082728a962c5000000/Income-Inequality-During-Chinas-Economic-Transition.pdf,Cited by 174,"https://scholar.google.com/scholar?q=related:EeX3VwivJ3YJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",187,All 11 versions,"D Benjamin, L Brandt, J Giles… - China's great economic …, 2008 - researchgate.net","This paper provides an overview of the evolution of income inequality in China from 1987 to 2002, employing three series of data sets. Our focus is on both urban and rural inequality, as well as the urbanrural gap, with the objective of summarizing several “first-order” empirical …"
Income inequality and crime in the United States,https://www.sciencedirect.com/science/article/pii/S0165176508001110,Cited by 170,"https://scholar.google.com/scholar?q=related:1ep3NE27BXwJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",188,All 6 versions,"J Choe - Economics Letters, 2008 - Elsevier","There are numerous studies on the relationship between income inequality and crime. Many 
of these studies found relative income inequality strongly impacts crime. Kelly (2000) found that 
the robbery, assault and overall violent crime are strongly aggravated by income inequality. Fajnzylber …"
What is the lag time between income inequality and health status?,https://jech.bmj.com/content/54/4/318.short,Cited by 197,"https://scholar.google.com/scholar?q=related:qh_upjuOtL8J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",189,All 11 versions,"TA Blakely, BP Kennedy, R Glass… - Journal of Epidemiology & …, 2000 - jech.bmj.com","Methods We used data for 213 695 people aged 15 years and older sampled by the 1995 and 1997 Current Population Survey (CPS) in the United States. 3 Two reasons dictated using just 1995 and 1997 data. Firstly, the CPS has only collected self rated health data …"
Public education and income inequality,https://www.sciencedirect.com/science/article/pii/S0176268002001787,Cited by 149,"https://scholar.google.com/scholar?q=related:bK4kAjI0jpMJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",190,All 9 versions,"G Glomm, B Ravikumar - European Journal of Political Economy, 2003 - Elsevier",This paper examines the evolution of inequality in an overlapping generations model where each individual's human capital investment depends on quality of schools. We consider an education regime where the quality of schools is a publicly provided input financed by an …
Unbalanced regional growth and regional income inequality in the latter stages of development,https://www.sciencedirect.com/science/article/pii/0166046288900269,Cited by 229,"https://scholar.google.com/scholar?q=related:jypF8zaU-aYJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",191,All 4 versions,"OM Amos Jr - Regional Science and Urban Economics, 1988 - Elsevier","This paper empirically examines the pattern of regional income inequality displayed in advanced stages of economic development, building from the convergent phase of the inverted-U hypothesis, originally developed by Kuznets for personal income inequality, but …"
Relation between income inequality and mortality in Canada and in the United States: cross sectional assessment using census data and vital statistics,https://www.bmj.com/content/320/7239/898?eaf,Cited by 565,"https://scholar.google.com/scholar?q=related:b6RnQhLKlbIJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",192,All 21 versions,"NA Ross, MC Wolfson, JR Dunn, JM Berthelot… - Bmj, 2000 - bmj.com","Objective: To compare the relation between mortality and income inequality in Canada with that in the United States. Design: The degree of income inequality, defined as the percentage of total household income received by the less well off 50% of households, was …"
"Race, class, and income inequality",https://www.journals.uchicago.edu/doi/abs/10.1086/226705,Cited by 195,"https://scholar.google.com/scholar?q=related:s_tvSQfMevIJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",193,All 10 versions,"EO Wright - American Journal of Sociology, 1978 - journals.uchicago.edu","The basic thesis of this paper is that class, defined within the Marxist tradition as common position within the social relations of production, mediates racial differences in income returns to education. That is, class position is viewed as a determinant of the extent to which …"
Income inequality and fiscal policy,https://books.google.com/books?hl=en&lr=&id=-6yxrBTdRVIC&oi=fnd&pg=PP2&dq=income+inequality&ots=VjNcKABjZR&sig=h7lVvXtuywq5vQXqVldI2R7N6rQ,Cited by 222,"https://scholar.google.com/scholar?q=related:h7ceaLvj7KIJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",194,All 14 versions,"D Coady, MS Gupta - 2012 - books.google.com","Staff Discussion Notes showcase the latest policy-related analysis and research being developed by individual IMF staff and are published to elicit comment and to further debate. These papers are generally brief and written in nontechnical language, and so are aimed at …"
Income inequality and the prevalence of mental illness: a preliminary international analysis,https://jech.bmj.com/content/60/7/646.short,Cited by 165,"https://scholar.google.com/scholar?q=related:Jnn1uDXsFhoJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",195,All 8 versions,"KE Pickett, OW James, RG Wilkinson - Journal of Epidemiology & …, 2006 - jech.bmj.com","Methods and results Prevalence of mental illness in the WMH survey initiative is derived from face to face interviews using the WMH version of the WHO composite international diagnostic interview (WMH-CIDI), a fully structured, lay administered psychiatric diagnostic …"
"Structural unemployment, cyclical unemployment, and income inequality",https://www.mitpressjournals.org/doi/abs/10.1162/003465399767923872,Cited by 186,"https://scholar.google.com/scholar?q=related:pEYYceEEMdUJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",196,All 8 versions,"HN Mocan - Review of Economics and Statistics, 1999 - MIT Press","This is the first study that decomposes unemployment into its structural and cyclical components and investigates their impact on income distribution, controlling for the influence of inflation. Increases in structural unemployment have a substantial aggravating …"
Income Inequality in China and Its Influential Factors [J],http://en.cnki.com.cn/Article_en/CJFDTotal-JJYJ200510002.htm,Cited by 162,"https://scholar.google.com/scholar?q=related:zIazc5VbVYQJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",197,,"W Xiaolu, F Gang - Economic Research Journal, 2005 - en.cnki.com.cn","Income inequality in China increased rapidly in the past 20 years, which is challenging growth sustainability, social justness and stability. By testing the hypothesis of existence of'Kuznets curve', it is found in this study that income inequality has a trend of further …"
"Income inequality, social cohesion, and class relations: a critique of Wilkinson's neo-Durkheimian research program",https://journals.sagepub.com/doi/abs/10.2190/G8QW-TT09-67PL-QTNC,Cited by 425,"https://scholar.google.com/scholar?q=related:W4MappU6a9YJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",198,All 10 versions,"C Muntaner, J Lynch - International journal of health …, 1999 - journals.sagepub.com",Wilkinson's “income inequality and social cohesion” model has emerged as a leading research program in social epidemiology. Public health scholars and activists working toward the elimination of social inequalities in health can find several appealing features in …
Income inequality within and across counties in rural China 1988 and 1995,https://www.sciencedirect.com/science/article/pii/S0304387802000585,Cited by 246,"https://scholar.google.com/scholar?q=related:yq5ecprzv18J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",199,All 9 versions,"B Gustafsson, L Shi - Journal of Development Economics, 2002 - Elsevier","Using household data from samples covering 18 provinces in 1988 and 1995, income inequality within and between counties in rural China is assessed. The approach enables us to aggregate average income and income inequality to the levels of provinces and the three …"
"Social capital, income inequality, and self-rated health in 45 countries",https://www.sciencedirect.com/science/article/pii/S0277953607004534,Cited by 260,"https://scholar.google.com/scholar?q=related:GLwBfeNRojIJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",200,All 9 versions,"C Mansyur, BC Amick, RB Harrist, L Franzini - Social science & medicine, 2008 - Elsevier",There has been growing interest in the relationship between the social environment and health. Among the concepts that have emerged over the past decade to examine this relationship are socio-economic inequality and social capital. Using data from the World …
Assessing the effects of wives' earnings on family income inequality,https://www.mitpressjournals.org/doi/abs/10.1162/003465398557348,Cited by 239,"https://scholar.google.com/scholar?q=related:NVfceRkjz0IJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",201,All 6 versions,"M Cancian, D Reed - Review of Economics and Statistics, 1998 - MIT Press",We argue that the effect of wives' earnings can be assessed meaningfully only by comparing the observed distribution of income with a reference distribution. The components of the standard decomposition of the Gini coefficient have no implicit reference distribution and …
Income inequality and murder rates: Some cross-national findings,https://www.ncjrs.gov/App/Publications/abstract.aspx?ID=86466,Cited by 123,"https://scholar.google.com/scholar?q=related:yPDS1Oq9Qg4J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",202,All 2 versions,"SF Messner - Comparative Social Research, 1980 - ncjrs.gov","Results of correlational and regression analysis reveal a positive relationship between the coefficient of income inequality and the murder rate. This association is moderately strong, and income inequality is the only independent variable with any appreciable explanatory …"
Changing income inequality in OECD countries: updated results from the Luxembourg Income Study (LIS),https://link.springer.com/chapter/10.1007/978-3-642-57232-6_10,Cited by 191,"https://scholar.google.com/scholar?q=related:PiS9ROrXUqcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",203,All 7 versions,"TM Smeeding, A Grodner - The personal distribution of income in an …, 2000 - Springer","The purpose of this study is to update the results first presented in 1995 in the OECD Monograph,“Income Distribution in OECD Countries: Evidence from the Luxembourg Income Study” by Atkinson, Rainwater, and Smeeding (1995). Though only five years have …"
The spatial contribution to income inequality in rural China,https://www.jstor.org/stable/23599707,Cited by 215,"https://scholar.google.com/scholar?q=related:tAB7eqWvbQEJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",204,All 13 versions,"J Knight, L Song - Cambridge Journal of Economics, 1993 - JSTOR",Since liberation in 1949 the Chinese Government has shown a strong ideologica political commitment to egalitarian objectives. In the rural areas these objective achieved by means of the state confiscation of land and the formation of peop communes in which income  …
Inequality in CO2 emissions across countries and its relationship with income inequality: a distributive approach,https://www.sciencedirect.com/science/article/pii/S0301421505000030,Cited by 179,"https://scholar.google.com/scholar?q=related:D2kkZF38lJkJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",205,All 29 versions,"E Padilla, A Serrano - Energy policy, 2006 - Elsevier",This paper analyzes the inequality in CO 2 emissions across countries (and groups of countries) and the relationship of this inequality with income inequality across countries for the period (1971–1999). The research employs the tools that are usually applied in income  …
Inequality measures between income distributions with applications,https://www.jstor.org/stable/1911936,Cited by 248,"https://scholar.google.com/scholar?q=related:4YhB0LtxfcQJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",206,All 6 versions,"C Dagum - Econometrica: Journal of the Econometric Society, 1980 - JSTOR","The purpose of this study is to introduce a measure of inter-income inequality that complements the traditional ones proposed by Gini, Theil, and others. The latter are measures that account for the degree of income inequality within a given population of …"
Income inequality and demand for redistribution: A multilevel analysis of European public opinion,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9477.2008.00211.x,Cited by 296,"https://scholar.google.com/scholar?q=related:SDQh1jBxak0J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",207,,"H Finseraas - Scandinavian Political Studies, 2009 - Wiley Online Library",This article employs multilevel modeling to assess the importance of income inequality on the demand for redistribution in a sample of 22 European countries. According to standard political economy models of redistribution–notably the Meltzer‐Richard model–inequality  …
Income inequality in the European Union,https://www.oecd-ilibrary.org/economics/income-inequality-in-the-european-union_5k9bdt47q5zt-en,Cited by 162,"https://scholar.google.com/scholar?q=related:3mS2kYiXbcwJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",208,All 7 versions,KB Fredriksen - 2012 - oecd-ilibrary.org,Poor growth performance over the past decades in Europe has increased concerns for rising income dispersion and social exclusion. European authorities have recently launched the Europe 2020 strategy which aims to improve social inclusion in Europe on top of already …
"Income inequality, individual income, and mortality in Danish adults: analysis of pooled data from two cohort studies",https://www.bmj.com/content/324/7328/13.short,Cited by 190,"https://scholar.google.com/scholar?q=related:3iFlCzZaXhYJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",209,All 20 versions,"M Osler, E Prescott, M Gr, U Christensen, P Due… - Bmj, 2002 - bmj.com",Objective: To analyse the association between area income inequality and mortality after adjustment for individual income and other established risk factors. Design: Analysis of pooled data from two cohort studies. The relation between income inequality in small areas …
"Income inequality, democracy, and public sector size",https://journals.sagepub.com/doi/abs/10.1177/000312240507000108,Cited by 181,"https://scholar.google.com/scholar?q=related:zikDakHT17MJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",210,All 7 versions,"CS Lee - American Sociological Review, 2005 - journals.sagepub.com","This study synthesizes and tests explanations of how public sector size and democracy affect income inequality. The results, based on unbalanced panel data for 64 developing and developed countries and a total of 341 observations from 1970 to 1994, show that a …"
"Inequality of opportunity, income inequality, and economic mobility: Some international comparisons",https://link.springer.com/chapter/10.1057/9781137333117_5,Cited by 237,"https://scholar.google.com/scholar?q=related:GTgmGhsIpxcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",211,All 30 versions,"P Brunori, FHG Ferreira, V Peragine - Getting development right, 2013 - Springer","The relationship between inequality and the development process has long been of interest, and both directions of causality have been extensively investigated. The idea that the structural transformation that takes place as an economy develops may lead first to rising …"
"Nonfarm income, inequality, and land in rural Egypt",https://www.journals.uchicago.edu/doi/full/10.1086/321913,Cited by 238,"https://scholar.google.com/scholar?q=related:plFZur4oJGoJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",212,All 24 versions,"RH Adams, Jr - Economic Development and Cultural …, 2002 - journals.uchicago.edu","In the past many researchers and policy makers have viewed the rural economy of developing countries as being synonymous with agriculture. According to this view, rural households receive most of their income from the production of food and export crops. In …"
"The Kuznets curve and the great U-turn: income inequality in US counties, 1970 to 1990",https://www.jstor.org/stable/2657450,Cited by 373,"https://scholar.google.com/scholar?q=related:fHUlw72sgGAJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",213,All 7 versions,"F Nielsen, AS Alderson - American Sociological Review, 1997 - JSTOR","We examine the determinants of inequality in the distribution of family income in approximately 3,100 counties of the United States in 1970, 1980, and 1990. Such a study provides a"" window"" on global trends in social inequality during the period, which spans the …"
"The third industrial revolution: Technology, productivity, and income inequality",https://books.google.com/books?hl=en&lr=&id=ta-2tcNhzMEC&oi=fnd&pg=PP9&dq=income+inequality&ots=J1OONS2hv_&sig=A0TDFI3YVfzJxkZlBSXEBt6vPZU,Cited by 277,"https://scholar.google.com/scholar?q=related:HEq1OlbLwE4J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",214,All 20 versions,J Greenwood - 1997 - books.google.com,"THE THIRD INDUSTRIAL REVOLUTION TECHNOLOGY, PRODUCTIVITY, AND INCOME INEQUALITY 
O Jeremy Greenwood AF American Enterprise Institute for Public Policy Research … The Third 
Industrial Revolution Technology, Productivity, and Income Inequality Jeremy Greenwood The …"
"Neighborhood feedbacks, endogenous stratification, and income inequality",https://bibliotecadigital.fgv.br/dspace/handle/10438/12163,Cited by 191,"https://scholar.google.com/scholar?q=related:41MqQQM1DfkJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",215,All 7 versions,SN Durlauf - 1993 - bibliotecadigital.fgv.br,This paper explores the evolution of the cross-section income distribution in economies where endogenous neighborhood formation interacts with positive within-neighborhood feedback effects. We study an economy in which the economic success of adults is …
County‐level income inequality and depression among older Americans,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-6773.2003.00206.x,Cited by 146,"https://scholar.google.com/scholar?q=related:MCyFSv2kQ7kJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",216,All 8 versions,"N Muramatsu - Health services research, 2003 - Wiley Online Library","Objectives. To examine (1) whether county‐level income inequality is associated with depression among Americans aged 70 and older, taking into consideration county‐level mean household income and individual‐level socioeconomic status (SES), demographic …"
Income inequality and economic growth,https://www.sciencedirect.com/science/article/pii/S0264999312000466,Cited by 116,"https://scholar.google.com/scholar?q=related:4_GBqUIWdjgJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",217,All 6 versions,"I Shin - Economic Modelling, 2012 - Elsevier","Despite the extensive existing literature on income inequality and economic growth, there remains considerable disagreement on the effect of inequality on economic growth. Existing literatures find either a positive or a negative relationship. In this paper, we attempt to …"
Whose health is affected by income inequality? A multilevel interaction analysis of contemporaneous and lagged effects of state income inequality on individual self …,https://www.sciencedirect.com/science/article/pii/S1353829204001005,Cited by 223,"https://scholar.google.com/scholar?q=related:_hTYzmHZGf8J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",218,All 8 versions,"SV Subramanian, I Kawachi - Health & place, 2006 - Elsevier","The empirical relationship between income inequality and health has been much debated and discussed. Recent reviews suggest that the current evidence is mixed, with the relationship between state income inequality and health in the United States (US) being …"
Income inequality and redistributive government spending,https://journals.sagepub.com/doi/abs/10.1177/1091142105284894,Cited by 176,"https://scholar.google.com/scholar?q=related:9vv_ty6DDIsJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",219,All 9 versions,"L De Mello, ER Tiongson - Public finance review, 2006 - journals.sagepub.com",This article examines empirically the question of whether more unequal societies spend more on income redistribution than their more egalitarian counterparts. Theoretical arguments on this issue are inconclusive. The political economy literature suggests that …
Long-run changes in British income inequality,https://www.jstor.org/stable/2592201,Cited by 159,"https://scholar.google.com/scholar?q=related:2NZsPg6peLgJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",220,All 5 versions,"L Soltow - The Economic History Review, 1968 - JSTOR","T is difficult to measure the extent of improvement of various social and eco-nomic groups during the Industrial Revolution. There seems to be a growing body of evidence showing that lower-income segments shared in economic growth.'However, the idea still prevails that …"
